3663.0,425.0
328.0,3700.0
634.0,3366.0
2508.0,1492.0
2443.0,1569.0
687.0,3313.0
589.0,3431.0
959.0,3047.0
2700.0,1300.0
1385.0,2667.0
1972.0,2028.0
1720.0,2292.0
2994.0,1006.0
1915.0,2085.0
3184.0,828.0
2801.0,1213.0
441.0,3589.0
551.0,3471.0
1317.0,2689.0
2301.0,1699.0
3605.0,457.0
1399.0,2601.0
483.0,3547.0
1779.0,2251.0
500.0,3500.0
403.0,3625.0
2561.0,1439.0
1855.0,2145.0
3035.0,967.0
370.0,3660.0
740.0,3276.0
1822.0,2210.0
3132.0,886.0
3392.0,608.0
2761.0,1239.0
3551.0,465.0
3425.0,581.0
2404.0,1600.0
2846.0,1158.0
916.0,3084.0
2374.0,1626.0
1285.0,2725.0
3257.0,743.0
2616.0,1384.0
1069.0,2931.0
3288.0,712.0
3073.0,927.0
1555.0,2453.0
1009.0,2991.0
1225.0,2775.0
1192.0,2808.0
2238.0,1788.0
2067.0,1933.0
1025.0,2975.0
1613.0,2387.0
3364.0,650.0
1679.0,2321.0
838.0,3208.0
864.0,3136.0
2545.0,1455.0
3474.0,534.0
2951.0,1049.0
896.0,3108.0
2657.0,1343.0
2194.0,1838.0
3229.0,785.0
840.0,3160.0
1433.0,2567.0
2262.0,1738.0
3460.0,550.0
2152.0,1860.0
2198.0,1804.0
1129.0,2871.0
1642.0,2358.0
2102.0,1900.0
2047.0,1957.0
1107.0,2893.0
756.0,3244.0
2676.0,1330.0
2905.0,1095.0
1786.0,2214.0
2621.0,1379.0
334.0,3694.0
1489.0,2517.0
3511.0,497.0
1155.0,2847.0
786.0,3214.0
1895.0,2115.0
3067.0,939.0
3316.0,684.0
2339.0,1661.0
1450.0,2554.0
3143.0,861.0
1516.0,2490.0
1176.0,2838.0
1085.0,2915.0
1524.0,2476.0
1472.0,2528.0
2007.0,2007.0
2253.0,1747.0
